Category: All categories

Month,Dengue fever: (Singapore)
2004-01,15
2004-02,7
2004-03,10
2004-04,15
2004-05,18
2004-06,9
2004-07,0
2004-08,19
2004-09,18
2004-10,0
2004-11,29
2004-12,11
2005-01,7
2005-02,16
2005-03,18
2005-04,13
2005-05,13
2005-06,23
2005-07,21
2005-08,35
2005-09,100
2005-10,61
2005-11,22
2005-12,15
2006-01,3
2006-02,13
2006-03,7
2006-04,9
2006-05,0
2006-06,10
2006-07,9
2006-08,7
2006-09,5
2006-10,15
2006-11,4
2006-12,5
2007-01,0
2007-02,7
2007-03,6
2007-04,9
2007-05,22
2007-06,38
2007-07,44
2007-08,21
2007-09,23
2007-10,18
2007-11,9
2007-12,8
2008-01,13
2008-02,8
2008-03,9
2008-04,13
2008-05,10
2008-06,11
2008-07,10
2008-08,8
2008-09,10
2008-10,10
2008-11,10
2008-12,8
2009-01,10
2009-02,11
2009-03,13
2009-04,12
2009-05,10
2009-06,7
2009-07,6
2009-08,7
2009-09,6
2009-10,5
2009-11,3
2009-12,3
2010-01,6
2010-02,7
2010-03,7
2010-04,8
2010-05,6
2010-06,7
2010-07,9
2010-08,10
2010-09,10
2010-10,9
2010-11,7
2010-12,6
2011-01,8
2011-02,6
2011-03,5
2011-04,6
2011-05,6
2011-06,8
2011-07,14
2011-08,13
2011-09,9
2011-10,9
2011-11,8
2011-12,5
2012-01,7
2012-02,7
2012-03,7
2012-04,7
2012-05,9
2012-06,8
2012-07,9
2012-08,8
2012-09,8
2012-10,9
2012-11,8
2012-12,7
2013-01,10
2013-02,14
2013-03,14
2013-04,34
2013-05,38
2013-06,73
2013-07,33
2013-08,22
2013-09,20
2013-10,26
2013-11,24
2013-12,19
2014-01,20
2014-02,18
2014-03,14
2014-04,15
2014-05,15
2014-06,20
2014-07,32
2014-08,27
2014-09,17
2014-10,15
2014-11,12
2014-12,11
2015-01,12
2015-02,10
2015-03,11
2015-04,11
2015-05,13
2015-06,13
2015-07,15
2015-08,11
2015-09,13
2015-10,13
2015-11,13
2015-12,16
2016-01,29
2016-02,30
2016-03,21
2016-04,16
2016-05,15
2016-06,16
2016-07,17
2016-08,16
2016-09,20
2016-10,12
2016-11,9
2016-12,7
2017-01,8
2017-02,8
2017-03,8
2017-04,8
2017-05,9
2017-06,8
2017-07,9
2017-08,8
2017-09,8
2017-10,9
2017-11,9
2017-12,8
2018-01,9
2018-02,6
2018-03,6
2018-04,6
2018-05,15
2018-06,9
2018-07,9
2018-08,7
2018-09,8
2018-10,7
2018-11,9
2018-12,10
2019-01,14
2019-02,15
2019-03,11
2019-04,12
2019-05,16
2019-06,23
2019-07,33
2019-08,31
2019-09,20
2019-10,16
2019-11,20
2019-12,16
2020-01,18
2020-02,25
2020-03,21
2020-04,15
2020-05,20
2020-06,49
2020-07,56
2020-08,45
2020-09,25
2020-10,17
2020-11,13
2020-12,8
2021-01,7
2021-02,7
2021-03,8
2021-04,7
2021-05,7
2021-06,8
2021-07,7
2021-08,6
2021-09,7
2021-10,7
2021-11,6
2021-12,4
2022-01,6
2022-02,7
2022-03,11
2022-04,22
2022-05,36
2022-06,43
2022-07,35
2022-08,24
2022-09,19
2022-10,17
2022-11,12
2022-12,12
2023-01,12
2023-02,11
2023-03,9
